sQxL8t0gtu8;2025;02;28;18;27;01;0.161;0.7688;41.88;-87.64;175;14.0;99.752;39.0;0.0;0.0;258.37;1.86
sQxL8t0gtu8;2025;02;28;18;32;06;0.161;0.7723;41.88;-87.64;175;14.0;99.752;39.0;0.0;0.0;259.22;1.02
sQxL8t0gtu8;2025;02;28;18;35;53;0.161;0.7749;41.88;-87.64;175;14.0;99.752;39.0;0.0;0.0;259.86;0.41
sQxL8t0gtu8;2025;02;28;18;39;40;0.161;0.7775;41.88;-87.64;175;14.0;99.752;39.0;0.0;0.0;260.49;-0.16
sQxL8t0gtu8;2025;02;28;18;43;13;0.161;0.78;41.88;-87.64;175;14.0;99.752;39.0;0.0;0.0;261.08;-0.69
sQxL8t0gtu8;2025;02;28;18;47;07;0.161;0.7827;41.88;-87.64;175;14.0;99.752;39.0;0.0;0.0;261.73;-1.25
sQxL8t0gtu8;2025;02;28;18;50;45;0.1611;0.7852;41.88;-87.64;175;14.0;99.752;39.0;0.0;0.0;262.33;-1.88
sQxL8t0gtu8;2025;02;28;18;54;16;0.1611;0.7877;41.88;-87.64;175;14.0;99.752;39.0;0.0;0.0;262.92;-3.06
sQxL8t0gtu8;2025;02;28;18;57;49;0.1611;0.7902;41.88;-87.64;175;14.0;99.752;39.0;0.0;0.0;263.5;-4.06
sQxL8t0gtu8;2025;02;28;19;01;28;0.1611;0.7927;41.88;-87.64;175;14.0;99.752;39.0;0.0;0.0;264.12;-4.79
sQxL8t0gtu8;2025;02;28;19;05;12;0.1611;0.7953;41.88;-87.64;175;14.0;99.752;39.0;0.0;0.0;264.73;-5.47
sQxL8t0gtu8;2025;02;28;19;08;55;0.1611;0.7979;41.88;-87.64;175;14.0;99.752;39.0;0.0;0.0;265.34;-6.16
sQxL8t0gtu8;2025;02;28;19;12;25;0.1611;0.8003;41.88;-87.64;175;14.0;99.752;39.0;0.0;0.0;265.92;-6.81
sQxL8t0gtu8;2025;02;28;19;16;01;0.1611;0.8028;41.88;-87.64;175;14.0;99.752;39.0;0.0;0.0;266.52;-7.48
sQxL8t0gtu8;2025;02;28;19;19;37;0.1611;0.8053;41.88;-87.64;175;14.0;99.752;39.0;0.0;0.0;267.11;-8.15
sQxL8t0gtu8;2025;02;28;19;23;24;0.1611;0.8079;41.88;-87.64;175;14.0;99.752;39.0;0.0;0.0;267.74;-8.85
sQxL8t0gtu8;2025;02;28;19;26;57;0.1611;0.8104;41.88;-87.64;175;14.0;99.752;39.0;0.0;0.0;268.33;-9.51
sQxL8t0gtu8;2025;02;28;19;30;31;0.1611;0.8129;41.88;-87.64;175;14.0;99.752;39.0;0.0;0.0;268.92;-10.17
sQxL8t0gtu8;2025;02;28;19;34;05;0.1611;0.8153;41.88;-87.64;175;14.0;99.752;39.0;0.0;0.0;269.52;-10.84
